Commit SHA,File Name,Old Function Signature,New Function Signature
909c8f818fc3037ab346a244bed2e89b82ba3648,RetrofitError.java,"public static RetrofitError unexpectedError(String url, Throwable exception)","public static RetrofitError unexpectedError(String url, Response response, Converter converter, Type successType, Throwable exception)"
763fe1639e3348480214873323caacd00cbd7fa6,MockHttpException.java,Response toResponse(Converter converter),"Response toResponse(Request request, Converter converter)"
763fe1639e3348480214873323caacd00cbd7fa6,RestAdapter.java,public void onFailure(IOException e),"public void onFailure(Request request, IOException e)"
144defa42cb9d5099a0264fcd574e9c0902e7523,Platform.java,CallAdapter.Factory defaultCallAdapterFactory(),CallAdapter.Factory defaultCallAdapterFactory(Executor callbackExecutor)
71b0a9e56a41aec91a8a3990a41bd9b4e60ef66a,RequestFactoryParser.java,"private RuntimeException parameterError(int index, String message, Object... args)","private RuntimeException parameterError(Throwable cause, int index, String message, Object... args)"
d7d684ec6dc5f86eb4de8bb436097b832aec30c9,RxJavaCallAdapterFactory.java,public CallAdapter<?> get(Type returnType),"public CallAdapter<?> get(Type returnType, Annotation[] annotations)"
d7d684ec6dc5f86eb4de8bb436097b832aec30c9,RxJavaCallAdapterFactoryTest.java,public Converter<?> get(Type type),"public Converter<?> get(Type type, Annotation[] annotations)"
d7d684ec6dc5f86eb4de8bb436097b832aec30c9,GsonConverterFactory.java,public Converter<?> get(Type type),"public Converter<?> get(Type type, Annotation[] annotations)"
d7d684ec6dc5f86eb4de8bb436097b832aec30c9,JacksonConverterFactory.java,public Converter<?> get(Type type),"public Converter<?> get(Type type, Annotation[] annotations)"
d7d684ec6dc5f86eb4de8bb436097b832aec30c9,MoshiConverterFactory.java,public Converter<?> get(Type type),"public Converter<?> get(Type type, Annotation[] annotations)"
d7d684ec6dc5f86eb4de8bb436097b832aec30c9,ProtoConverterFactory.java,public Converter<?> get(Type type),"public Converter<?> get(Type type, Annotation[] annotations)"
d7d684ec6dc5f86eb4de8bb436097b832aec30c9,SimpleXmlConverterFactory.java,public Converter<?> get(Type type),"public Converter<?> get(Type type, Annotation[] annotations)"
d7d684ec6dc5f86eb4de8bb436097b832aec30c9,WireConverterFactory.java,public Converter<?> get(Type type),"public Converter<?> get(Type type, Annotation[] annotations)"
d7d684ec6dc5f86eb4de8bb436097b832aec30c9,CallAdapter.java,CallAdapter<?> get(Type returnType),"CallAdapter<?> get(Type returnType, Annotation[] annotations)"
d7d684ec6dc5f86eb4de8bb436097b832aec30c9,Converter.java,Converter<?> get(Type type),"Converter<?> get(Type type, Annotation[] annotations)"
d7d684ec6dc5f86eb4de8bb436097b832aec30c9,DefaultCallAdapter.java,public CallAdapter<?> get(Type returnType),"public CallAdapter<?> get(Type returnType, Annotation[] annotations)"
d7d684ec6dc5f86eb4de8bb436097b832aec30c9,ExecutorCallAdapterFactory.java,public CallAdapter<Call<?>> get(Type returnType),"public CallAdapter<Call<?>> get(Type returnType, Annotation[] annotations)"
d7d684ec6dc5f86eb4de8bb436097b832aec30c9,OkHttpBodyConverterFactory.java,public Converter<?> get(Type type),"public Converter<?> get(Type type, Annotation[] annotations)"
d7d684ec6dc5f86eb4de8bb436097b832aec30c9,Retrofit.java,public Converter<?> get(Type candidate),"public Converter<?> get(Type candidate, Annotation[] annotations)"
d7d684ec6dc5f86eb4de8bb436097b832aec30c9,Utils.java,"static CallAdapter<?> resolveCallAdapter(List<CallAdapter.Factory> adapterFactories, Type type)","static CallAdapter<?> resolveCallAdapter(List<CallAdapter.Factory> adapterFactories, Type type, Annotation[] annotations)"
d7d684ec6dc5f86eb4de8bb436097b832aec30c9,Utils.java,"static Converter<?> resolveConverter(List<Converter.Factory> converterFactories, Type type)","static Converter<?> resolveConverter(List<Converter.Factory> converterFactories, Type type, Annotation[] annotations)"
d7d684ec6dc5f86eb4de8bb436097b832aec30c9,CallTest.java,public Converter<?> get(Type type),"public Converter<?> get(Type type, Annotation[] annotations)"
d7d684ec6dc5f86eb4de8bb436097b832aec30c9,CallTest.java,public Converter get(Type type),"public Converter get(Type type, Annotation[] annotations)"
d7d684ec6dc5f86eb4de8bb436097b832aec30c9,RetrofitTest.java,public Converter<?> get(Type type),"public Converter<?> get(Type type, Annotation[] annotations)"
d7d684ec6dc5f86eb4de8bb436097b832aec30c9,ToStringConverterFactory.java,public Converter get(Type type),"public Converter get(Type type, Annotation[] annotations)"
d7d684ec6dc5f86eb4de8bb436097b832aec30c9,CustomCallAdapter.java,public CallAdapter<ListenableFuture<?>> get(Type returnType),"public CallAdapter<ListenableFuture<?>> get(Type returnType, Annotation[] annotations)"
f72b0aa9c4edc59c7ed1419414f7c9e3d35eaee8,RxJavaCallAdapterFactory.java,"public CallAdapter<?> get(Type returnType, Annotation[] annotations)","public CallAdapter<?> get(Type returnType, Annotation[] annotations, Retrofit retrofit)"
f72b0aa9c4edc59c7ed1419414f7c9e3d35eaee8,CallAdapter.java,"CallAdapter<?> get(Type returnType, Annotation[] annotations)","CallAdapter<?> get(Type returnType, Annotation[] annotations, Retrofit retrofit)"
f72b0aa9c4edc59c7ed1419414f7c9e3d35eaee8,DefaultCallAdapter.java,"public CallAdapter<?> get(Type returnType, Annotation[] annotations)","public CallAdapter<?> get(Type returnType, Annotation[] annotations, Retrofit retrofit)"
f72b0aa9c4edc59c7ed1419414f7c9e3d35eaee8,ExecutorCallAdapterFactory.java,"public CallAdapter<Call<?>> get(Type returnType, Annotation[] annotations)","public CallAdapter<Call<?>> get(Type returnType, Annotation[] annotations, Retrofit retrofit)"
f72b0aa9c4edc59c7ed1419414f7c9e3d35eaee8,CustomCallAdapter.java,"public CallAdapter<ListenableFuture<?>> get(Type returnType, Annotation[] annotations)","public CallAdapter<ListenableFuture<?>> get(Type returnType, Annotation[] annotations, Retrofit retrofit)"
a704966767ab96f286986a3f9e0e79f6693db1ed,RxJavaCallAdapterFactory.java,public void onResponse(Response<T> response),"public void onResponse(Response<T> response, Retrofit retrofit)"
a704966767ab96f286986a3f9e0e79f6693db1ed,BehaviorCall.java,public void onResponse(final Response<T> response),"public void onResponse(final Response<T> response, Retrofit retrofit)"
a704966767ab96f286986a3f9e0e79f6693db1ed,BehaviorCall.java,public void onResponse(Response<T> response),"public void onResponse(Response<T> response, Retrofit retrofit)"
a704966767ab96f286986a3f9e0e79f6693db1ed,Calls.java,public static Call<T> response(T successValue),"public static Call<T> response(T successValue, Retrofit retrofit)"
a704966767ab96f286986a3f9e0e79f6693db1ed,Calls.java,public static Call<T> response(final Response<T> response),"public static Call<T> response(final Response<T> response, final Retrofit retrofit)"
a704966767ab96f286986a3f9e0e79f6693db1ed,MockRetrofitTest.java,public void onResponse(Response<String> response),"public void onResponse(Response<String> response, Retrofit retrofit)"
a704966767ab96f286986a3f9e0e79f6693db1ed,Callback.java,void onResponse(Response<T> response),"void onResponse(Response<T> response, Retrofit retrofit)"
a704966767ab96f286986a3f9e0e79f6693db1ed,ExecutorCallAdapterFactory.java,public void onResponse(final Response<T> response),"public void onResponse(final Response<T> response, final Retrofit retrofit)"
a704966767ab96f286986a3f9e0e79f6693db1ed,CallTest.java,public void onResponse(Response<String> response),"public void onResponse(Response<String> response, Retrofit retrofit)"
a704966767ab96f286986a3f9e0e79f6693db1ed,RetrofitTest.java,public void onResponse(Response<ResponseBody> response),"public void onResponse(Response<ResponseBody> response, Retrofit retrofit)"
a704966767ab96f286986a3f9e0e79f6693db1ed,CustomCallAdapter.java,public void onResponse(Response<T> response),"public void onResponse(Response<T> response, Retrofit retrofit)"
4b969e91bf8f189f272facc674d2f1e62f182b04,RequestFactoryParser.java,"static RequestFactory parse(Method method, Retrofit retrofit)","static RequestFactory parse(Method method, Type responseType, Retrofit retrofit)"
4b969e91bf8f189f272facc674d2f1e62f182b04,RequestFactoryParser.java,private void parseMethodAnnotations(),private void parseMethodAnnotations(Type responseType)
d26484c7a8fa5e648d9aa476b493c94f9c242bf7,Retrofit.java,public Builder validateEagerly(),public Builder validateEagerly(boolean validateEagerly)
412b4cb340ff5481351468f7aaeb3d43cdeb0c98,RxJavaCallAdapterFactoryTest.java,"public Converter<ResponseBody, ?> responseBodyConverter(Type type, Annotation[] annotations)","public Converter<ResponseBody, ?> responseBodyConverter(Type type, Annotation[] annotations, Retrofit retrofit)"
412b4cb340ff5481351468f7aaeb3d43cdeb0c98,RxJavaCallAdapterFactoryTest.java,"public Converter<?, RequestBody> requestBodyConverter(Type type, Annotation[] annotations)","public Converter<?, RequestBody> requestBodyConverter(Type type, Annotation[] annotations, Retrofit retrofit)"
